@RELATION scores

@ATTRIBUTE bm25_score	 NUMERIC
@ATTRIBUTE okapi_tf_score	   NUMERIC
@ATTRIBUTE tf_idf_score	     NUMERIC
@ATTRIBUTE lm_laplace_score	       NUMERIC
@ATTRIBUTE lm_jelinik_mercer	     NUMERIC
@ATTRIBUTE Score	          REAL

@Data
14.48,0.8617,6.1,-37.84,-116.3456,?
16.42,0.8892,6.09,-38.78,-116.1955,?
13.64,0.7842,5.57,-38.46,-116.7708,?
13.14,0.8515,5.31,-38.2,-117.7268,?
5.15,0.0,1.62,-39.78,-119.5346,?
13.4,0.8104,5.44,-37.94,-118.1942,?
6.95,0.0,2.21,-39.75,-118.0336,?
14.22,0.8383,5.59,-38.52,-116.4341,?
13.34,0.8364,5.41,-38.35,-117.3246,?
13.21,0.8676,5.36,-38.12,-117.609,?
13.01,0.6199,5.21,-38.38,-118.1969,?
12.37,0.5642,4.85,-38.06,-119.109,?
18.71,0.9208,7.68,-37.17,-113.9272,?
13.78,0.8352,5.67,-37.99,-117.5723,?
12.87,0.6912,5.11,-38.19,-118.7046,?
19.07,0.9738,6.66,-38.96,-117.0362,?
14.08,0.751,5.85,-38.17,-116.6635,?
13.19,0.7967,5.31,-38.16,-118.195,?
18.73,0.6342,7.4,-37.34,-117.1666,?
15.9,1.0358,6.29,-38.49,-115.6319,?
13.9,0.763,5.73,-38.37,-116.4168,?
11.12,0.5427,3.49,-39.63,-117.4527,?
17.65,0.6478,7.0,-37.7,-117.3201,?
17.6,1.2844,7.02,-37.69,-117.4364,?
13.5,0.8164,5.49,-37.82,-118.1939,?
18.46,0.828,7.47,-37.28,-116.8088,?
17.3,0.9192,5.8,-39.31,-115.2573,?
8.73,0.5046,2.72,-39.7,-118.1484,?
12.77,0.7456,4.77,-39.07,-116.639,?
18.65,1.2207,6.63,-38.97,-115.6599,?
10.98,0.5472,3.55,-39.61,-117.7401,?
11.12,0.8342,4.49,-38.81,-117.2213,?
8.58,0.6838,3.18,-39.43,-118.6081,?
20.21,0.8313,8.43,0.0,-115.8923,?
22.91,1.368,8.32,-38.81,-112.5807,?
10.32,0.6141,3.65,-39.2,-118.4203,?
8.37,0.0,3.53,-38.45,-119.1119,?
12.89,0.5838,5.15,-38.46,-118.0164,?
12.88,0.5427,4.85,-39.01,-117.0458,?
13.6,0.7321,5.26,-38.88,-116.2386,?
13.88,0.8343,5.72,-38.35,-116.199,?
17.15,0.7824,6.79,-38.15,-116.4782,?
18.17,1.0316,6.99,-38.41,-115.033,?
12.76,0.5529,5.1,-37.89,-118.8216,?
19.97,1.1858,7.73,-38.09,-114.8726,?
13.73,0.6675,5.65,-37.78,-118.0124,?
14.06,0.703,5.85,-37.31,-118.011,?
14.27,0.8671,5.97,-37.7,-117.0983,?
17.11,0.4241,5.98,-39.14,-115.3203,?
23.33,1.2968,8.67,-38.5,-113.1736,?
13.49,0.6956,5.48,-37.84,-118.4168,?
22.56,1.0213,8.08,-38.83,-114.1537,?
13.72,0.7012,5.63,-38.27,-117.2205,?
13.91,0.8437,5.75,-37.85,-117.5717,?
14.36,0.7034,5.61,-38.6,-116.9972,?
11.19,0.5602,3.63,-39.59,-117.7393,?
11.29,0.2899,3.63,-39.56,-118.1437,?
0.0,1.248,0.0,-36.95,-114.0183,?
17.37,1.21,6.87,-37.72,-117.724,?
23.45,1.1151,9.41,-37.42,0.0,?
13.08,0.3824,4.54,-39.29,-116.8292,?
14.06,0.7395,5.84,-37.74,-117.7253,?
22.88,0.7095,8.94,-37.43,-115.3103,?
23.25,1.0456,8.81,-38.1,-114.8421,?
15.91,1.1196,6.26,-38.46,-115.8665,?
16.28,1.1401,6.43,-38.37,-116.0307,?
11.24,0.5701,4.22,-38.47,-119.5143,?
6.41,0.0,2.04,-39.77,-117.7486,?
16.19,0.9239,5.73,-39.27,-114.6958,?
16.89,0.7339,6.38,-38.33,-117.5058,?
12.16,0.7298,4.73,-38.81,-118.1992,?
12.72,0.8296,5.07,-38.5,-117.7288,?
18.52,0.88,7.26,-38.1,-114.1367,?
18.75,0.8767,6.98,-38.6,-116.4107,?
19.82,1.2057,7.76,-37.84,-114.6909,?
11.1,1.5611,4.56,-38.67,-117.7254,?
17.3,0.7723,6.53,-38.77,-114.4494,?
16.51,0.8087,6.42,-38.36,-116.75,?
18.85,0.8744,7.12,-38.7,-114.5477,?
18.53,0.7887,7.41,-38.02,-115.9668,?
20.66,0.0,7.74,-38.7,-114.3338,?
14.88,1.323,5.58,-38.96,-117.4421,?
18.17,0.7861,7.21,-38.32,-115.2125,?
14.58,0.8283,5.5,-38.75,-116.638,?
7.97,0.5941,2.73,-39.7,-118.14,?
12.73,0.3032,5.03,-38.3,-116.6954,?
13.75,0.6599,5.66,-38.22,-116.8183,?
11.85,0.4408,4.63,-38.6,-118.6027,?
11.9,0.6344,3.88,-39.53,-118.1409,?
9.53,0.2864,3.03,-39.64,-118.1441,?
15.57,0.8882,5.44,-39.28,-116.5223,?
10.38,0.6141,3.81,-39.15,-119.1135,?
13.51,0.6007,5.55,-37.99,-117.6101,?
20.24,0.9602,7.24,-38.79,-116.1203,?
12.82,0.6869,5.08,-38.24,-118.7048,?
14.39,0.7795,5.57,-38.58,-116.9177,?
11.18,0.6132,3.61,-39.57,-118.1419,?
12.73,0.5198,5.1,-38.02,-118.5995,?
18.64,0.8254,7.36,-37.94,-115.1429,?
14.82,0.7183,5.59,-38.9,-116.537,?
14.89,0.7929,6.0,-38.4,-115.6295,?
4.15,0.0,1.32,-39.85,-119.5271,?
13.1,0.8145,5.0,-38.82,-116.8182,?
7.9,0.0,3.23,-38.98,-118.9661,?
1.14,0.0,0.34,-39.96,-120.2213,?
13.24,0.7671,5.0,-38.75,-117.5036,?
21.85,1.5791,8.63,-37.76,-114.7978,?
11.56,0.3408,4.6,-38.56,-117.9158,?
13.92,0.78,5.34,-38.76,-116.7661,?
13.82,0.8151,5.16,-38.9,-116.5621,?
6.67,0.0,2.21,-39.65,-119.5248,?
20.03,0.7428,7.18,-38.81,-115.8341,?
12.74,0.7448,4.78,-39.01,-117.175,?
6.3,0.0,2.28,-39.65,-118.2107,?
13.14,0.6884,4.99,-39.0,-116.6702,?
14.48,0.7541,5.7,-38.73,-114.9637,?
13.99,0.687,5.37,-38.9,-116.0826,?
14.13,0.6489,5.52,-38.68,-116.6651,?
12.54,0.5024,5.0,-38.17,-118.6002,?
12.2,0.5443,4.26,-39.35,-118.4242,?
14.44,0.8299,6.08,-38.01,-116.0317,?
13.27,0.7438,4.39,-39.54,-116.1394,?
18.56,0.8045,7.43,-37.44,-117.0959,?
12.93,0.745,5.15,-38.32,-118.4182,?
19.26,0.8581,7.89,-37.33,-115.8182,?
18.82,0.7587,7.35,-37.31,-117.7244,?
18.89,0.7885,7.65,-37.63,-116.2239,?
10.72,0.6366,3.98,-39.03,-119.1124,?
12.91,0.5858,5.17,-38.45,-118.0163,?
14.78,0.8272,6.3,-37.15,-117.032,?
14.16,0.2427,5.02,-39.16,-116.2404,?
19.11,0.8578,7.08,-38.75,-113.8794,?
19.95,0.737,7.2,-38.71,-113.7676,?
17.79,0.8231,6.86,-38.31,-115.6132,?
15.68,0.4866,6.09,-38.3,-116.6365,?
16.2,0.6423,5.5,-39.27,-115.9521,?
9.4,0.2935,3.18,-39.5,-118.431,?
4.57,0.5456,1.69,-39.55,-120.2081,?
12.81,0.7976,5.1,-38.47,-118.015,?
7.42,0.552,2.33,-39.76,-118.444,?
13.57,0.8493,5.55,-38.18,-117.3232,?
18.85,0.6416,7.65,-37.28,-116.6273,?
17.24,0.5742,6.47,-38.75,-114.2534,?
14.01,0.833,5.8,-37.7,-117.7248,?
16.18,0.7622,6.15,-38.14,-118.1297,?
15.44,0.5533,5.65,-39.0,-115.5764,?
16.58,0.7778,6.36,-37.86,-118.1289,?
16.3,0.7669,6.21,-38.06,-118.1294,?
7.05,0.3361,2.22,-39.78,-118.4453,?
13.85,0.4059,4.75,-39.18,-117.0495,?
19.03,0.8077,7.72,-37.47,-116.4048,?
16.22,0.8035,6.2,-38.1,-117.9069,?
16.22,0.8035,6.2,-38.1,-117.9069,?
11.05,0.6043,3.56,-39.58,-118.1424,?
17.97,0.7564,7.14,-37.56,-117.4368,?
17.05,0.7417,6.61,-38.06,-117.7252,?
20.17,1.7296,6.29,-29.58,-103.3216,?
20.17,1.7296,6.29,-29.58,-103.3216,?
27.31,2.8196,7.17,-30.68,-99.5933,?
29.13,3.0499,8.03,-30.17,-101.0553,?
13.55,1.8139,3.77,-30.02,-104.4166,?
17.21,1.2376,4.04,-31.02,-104.5545,?
25.28,2.426,6.34,-30.86,-100.0572,?
29.04,2.538,8.16,-30.35,-98.6259,?
31.37,2.8179,8.54,-30.12,-98.8859,?
30.97,2.8013,8.4,-30.15,-98.6765,?
21.74,2.5577,5.2,-30.95,-104.538,?
34.32,3.0735,9.98,0.0,-103.7216,?
28.4,2.9064,7.48,-30.38,-102.5786,?
33.26,3.2808,9.4,-29.28,-99.5706,?
28.28,2.8899,7.44,-30.4,-102.5788,?
24.55,2.5481,6.2,-30.77,-102.179,?
26.75,2.663,7.09,-30.57,-99.6983,?
23.82,2.263,6.03,-30.75,-102.7556,?
32.21,3.8381,8.91,-29.8,-96.0705,?
29.75,3.3015,7.9,-30.4,-99.1441,?
29.22,2.8196,8.32,-29.92,-99.2509,?
35.67,3.6943,10.23,-29.25,-100.5492,?
32.96,2.8782,9.48,-29.44,-100.5008,?
29.11,2.4672,7.94,-30.13,-101.9408,?
25.36,2.058,6.44,-30.8,-101.356,?
24.78,2.2683,6.3,-30.56,-103.8477,?
25.44,2.3439,6.52,-30.48,-103.8469,?
25.31,2.3293,6.48,-30.5,-103.8471,?
25.14,2.3102,6.42,-30.52,-103.8473,?
25.78,2.3836,6.64,-30.44,-103.8465,?
29.4,2.8233,7.92,-29.78,-103.8428,?
21.19,1.9964,5.17,-30.87,-103.4482,?
16.0,2.0444,4.53,-30.64,-101.6973,?
23.45,1.9932,6.06,-30.6,-102.8736,?
35.2,3.6779,9.75,-30.01,-94.9806,?
21.11,2.1472,5.27,-30.85,-103.1604,?
30.79,2.7806,8.26,-30.39,-99.7525,?
34.9,3.9151,9.89,-29.18,-97.3549,?
21.4,2.295,5.23,-30.9,-104.211,?
35.31,0.0,9.94,-29.25,-95.2153,?
24.03,2.4658,6.08,-30.97,-99.8356,?
33.91,3.3223,9.69,-28.51,-102.8195,?
24.0,3.0365,6.04,-30.84,-102.154,?
24.42,3.1065,6.18,-30.79,-102.1533,?
33.28,3.5881,9.17,-30.2,0.0,?
36.69,3.747,10.69,-29.15,-97.9084,?
29.93,2.7106,8.12,-30.24,-98.1575,?
27.54,3.6524,7.24,-30.2,-102.1486,?
32.15,3.1634,9.15,-29.9,-98.3544,?
27.53,3.1235,7.12,-30.72,-98.8502,?
22.84,2.1144,5.88,-30.7,-101.9515,?
23.85,1.9702,6.39,-30.45,-101.6752,?
25.47,2.7493,6.68,-30.54,-99.8164,?
32.53,3.2072,9.3,-29.83,-98.3535,?
29.37,3.2991,8.2,-30.16,-98.2165,?
25.0,2.0619,6.25,-30.82,-101.7797,?
18.4,2.634,5.34,-30.36,-103.2688,?
26.56,2.3324,7.04,-30.29,-103.1539,?
26.81,2.3562,7.13,-30.24,-103.1535,?
26.08,2.2867,6.87,-30.36,-103.1546,?
30.95,2.7634,8.67,-28.92,-103.1486,?
23.05,1.9996,5.86,-30.73,-103.1599,?
30.92,3.2041,8.4,-29.91,-98.1498,?
19.66,1.7226,4.82,-30.98,-102.8616,?
28.82,2.504,7.91,-30.4,-100.3675,?
13.25,1.7507,3.64,-30.07,-105.2266,?
21.93,2.2876,6.73,-29.3,-103.0316,?
27.4,2.7952,7.52,-30.09,-99.574,?
24.98,2.6392,6.49,-30.6,-101.0407,?
14.7,2.3057,4.06,-30.67,-102.3043,?
27.16,3.0228,7.28,-30.17,-99.8101,?
21.87,2.211,5.44,-31.0,-99.8731,?
34.36,3.2514,9.63,-29.97,-96.8865,?
20.04,2.1492,4.9,-31.02,-101.2553,?
33.29,3.1456,9.46,-29.83,-100.0411,?
28.61,2.828,7.66,-30.54,-99.6562,?
23.85,1.8588,6.31,-30.59,-101.3764,?
14.96,2.4263,4.17,-30.6,-101.8872,?
13.25,1.7507,3.64,-30.07,-105.2266,?
23.7,2.1035,6.16,-30.63,-102.0653,?
22.57,2.0431,5.74,-30.78,-101.7413,?
20.75,2.3516,6.2,-29.95,-101.0361,?
13.03,1.7046,3.54,-30.91,-103.6917,?
13.56,1.8163,3.78,-30.49,-103.2717,?
15.2,2.5229,4.27,-30.46,-101.4281,?
24.36,2.4992,6.44,-30.46,-99.786,?
26.1,2.6536,6.98,-30.25,-99.963,?
35.46,3.25,10.14,-29.75,-98.4765,?
21.06,1.7083,5.18,-30.86,-103.972,?
21.9,2.0968,5.57,-30.81,-101.3783,?
22.91,2.0537,5.85,-30.73,-102.5865,?
20.34,1.6389,6.45,-29.08,-104.4941,?
26.23,2.4759,7.04,-30.07,-101.0742,?
24.51,2.481,6.36,-30.6,-101.2562,?
35.01,3.3872,10.16,-26.5,-103.8395,?
21.09,1.5163,5.24,-30.67,-105.3521,?
22.89,1.6823,5.81,-30.48,-105.35,?
21.97,1.5969,5.52,-30.58,-105.351,?
34.55,3.3037,9.99,-29.11,-98.2842,?
20.75,1.4856,5.13,-30.7,-105.3526,?
33.7,3.0593,9.41,-30.03,-97.3804,?
24.18,2.005,6.19,-30.59,-103.9666,?
25.1,1.9399,6.59,-30.4,-104.6585,?
28.5,2.5918,7.5,-30.36,-103.037,?
33.19,3.368,9.24,-30.16,-95.4842,?
15.27,2.5092,4.3,-30.28,-101.4394,?
18.5,1.5911,4.37,-31.01,-103.8585,?
20.67,2.1004,6.01,-30.17,-100.0123,?
17.25,2.2249,4.88,-30.65,-101.1433,?
23.04,2.3712,7.29,-29.67,-100.5029,?
26.97,2.4135,7.18,-30.55,-100.3913,?
31.84,2.9088,8.74,-30.31,-98.4616,?
36.52,3.7918,10.26,-29.99,-95.8314,?
23.11,2.3426,5.78,-30.79,-102.5844,?
23.45,2.2931,5.9,-30.92,-100.3981,?
38.1,3.6483,10.91,-29.7,-96.0725,?
32.28,3.4384,8.57,-30.5,-97.4265,?
23.84,2.0296,6.09,-30.65,-103.522,?
23.45,2.2931,5.9,-30.92,-100.3981,?
36.9,3.6598,10.87,-26.02,-103.0287,?
33.43,3.0622,9.6,-29.25,-100.1499,?
24.32,2.0182,6.24,-30.57,-103.9663,?
24.29,2.0148,6.22,-30.58,-103.9664,?
24.35,2.0215,6.25,-30.57,-103.9663,?
28.76,2.4615,7.81,-29.76,-103.9609,?
21.28,1.7295,5.25,-30.85,-103.9715,?
29.17,2.908,7.7,-30.48,-99.8718,?
20.21,1.5997,4.92,-30.99,-102.5948,?
29.83,2.4181,8.05,-30.33,-102.5797,?
37.96,3.5333,11.02,-29.43,-95.2546,?
25.1,2.0939,6.5,-30.48,-103.9652,?
25.17,2.1011,6.52,-30.47,-103.9651,?
23.95,1.9825,6.11,-30.61,-103.9669,?
27.12,2.4231,7.03,-30.54,-102.1384,?
30.21,3.1266,7.98,-30.38,-101.3239,?
13.83,1.2788,3.18,-31.17,-103.5819,?
23.36,1.9734,5.74,-30.89,-101.9044,?
38.38,3.6624,11.08,-29.42,-96.1694,?
28.3,2.6944,7.69,-30.49,-98.1965,?
29.21,2.8244,7.93,-30.15,-102.8649,?
19.83,1.7431,4.85,-30.97,-103.453,?
34.54,3.2298,10.0,-27.9,-102.1264,?
22.47,2.4161,5.68,-30.85,-100.97,?
26.56,2.6265,6.71,-30.81,-100.279,?
35.21,4.0009,9.86,-29.7,-96.7633,?
26.65,2.6372,6.74,-30.8,-100.2788,?
33.56,3.4844,9.34,-29.75,-98.5732,?
28.85,3.0859,7.71,-30.38,-101.728,?
31.78,3.0655,8.85,-29.51,-102.8214,?
20.9,1.8215,5.22,-30.86,-102.1894,?
37.18,3.5828,10.66,-29.31,-95.6754,?
21.07,2.2857,5.19,-30.95,-101.5856,?
24.62,2.5288,6.47,-30.66,-100.5205,?
30.65,2.9067,8.43,-30.32,-98.8464,?
17.61,2.2432,5.21,-30.11,-103.9606,?
13.27,1.7545,3.65,-30.01,-105.2265,?
12.99,1.6978,3.53,-30.87,-104.2124,?
12.99,1.6978,3.53,-30.28,-105.5913,?
13.25,1.7507,3.64,-30.07,-105.2266,?
18.89,1.7777,5.64,-29.84,-103.3257,?
29.99,2.9209,8.09,-30.45,-98.8459,?
20.05,2.1681,5.91,-30.05,-101.6521,?
19.52,2.351,5.72,-30.42,-100.0888,?
19.06,1.7873,5.72,-29.74,-103.3252,?
13.05,1.7097,3.56,-30.88,-103.85,?
23.33,2.7697,5.86,-30.82,-100.6584,?
33.83,3.2705,9.44,-29.84,-100.2635,?
21.62,1.8345,5.33,-30.86,-103.8537,?
37.48,3.646,10.9,-29.76,-94.6875,?
32.53,3.2006,8.89,-30.29,-97.6727,?
13.08,1.7152,3.57,-30.63,-104.9207,?
25.21,2.4538,6.56,-30.68,-102.0616,?
28.95,3.1005,7.6,-30.57,-99.9839,?
25.25,2.1083,6.55,-30.46,-103.965,?
26.62,2.2446,7.03,-30.25,-103.9633,?
25.97,2.2343,6.82,-30.38,-103.5187,?
25.76,2.2137,6.74,-30.41,-103.519,?
25.76,2.2137,6.74,-30.41,-103.519,?
29.58,2.5931,8.13,-29.54,-103.5143,?
22.4,1.8933,5.63,-30.78,-103.5247,?
36.63,3.872,10.66,-28.61,-99.8545,?
23.69,3.0337,5.84,-31.02,-100.4362,?
22.1,1.8035,5.75,-30.79,-101.6719,?
13.44,1.7911,3.72,-29.82,-104.9182,?
33.9,3.4586,9.47,-30.08,-96.6463,?
0.0,3.2862,0.0,-29.43,-95.9443,?
33.81,3.4384,9.42,-29.99,-96.5617,?
12.91,1.1536,3.2,-30.6,-81.8672,?
27.14,1.6711,7.68,-26.55,-81.0484,?
11.96,1.039,2.88,-30.64,-82.4403,?
19.88,1.0658,4.9,-29.31,-82.4396,?
10.25,1.0161,2.32,-30.74,-81.7556,?
28.34,2.2735,7.98,-27.33,-78.8561,?
25.64,1.5315,7.04,-27.18,-81.8589,?
16.06,1.5842,4.39,-30.22,-79.8467,?
14.67,1.3829,3.83,-30.45,-81.0565,?
15.38,1.6651,3.99,-30.46,-80.3639,?
22.62,1.609,5.75,-29.17,-80.3258,?
36.9,2.9122,9.48,-27.53,-80.3549,?
22.66,1.5393,5.77,-29.03,-81.1726,?
14.63,1.3775,3.82,-30.42,-81.4183,?
12.81,1.1417,3.17,-30.61,-81.8675,?
16.2,1.9515,4.28,-30.41,-79.3637,?
16.05,1.3364,3.71,-29.94,-81.8646,?
1.6,0.6874,0.48,-30.83,-82.8485,?
14.38,1.3435,3.73,-30.49,-81.0578,?
18.91,1.3067,5.21,-29.76,-80.7272,?
17.06,1.9017,4.67,-30.16,-79.1523,?
16.37,1.7766,4.39,-30.32,-79.3457,?
17.15,2.108,4.66,-30.16,-79.9531,?
16.62,1.8243,4.48,-30.27,-79.3442,?
16.14,1.7807,4.28,-30.35,-80.0547,?
14.85,1.4077,3.9,-30.45,-80.4857,?
17.14,1.7518,4.86,-29.82,-78.4627,?
16.91,1.7148,4.75,-29.9,-79.2245,?
11.77,1.0175,2.82,-30.68,-81.8717,?
15.89,1.5574,4.32,-30.22,-80.4795,?
16.4,1.7838,4.4,-30.31,-79.3455,?
12.15,1.2745,2.88,-30.67,-81.7492,?
14.96,1.4233,3.95,-30.42,-80.7494,?
32.76,2.6296,8.23,-29.31,-76.7846,?
16.4,1.7838,4.4,-30.31,-79.3455,?
15.8,1.6641,4.18,-30.42,-79.1609,?
35.43,2.5881,9.09,-28.9,-77.2653,?
14.98,1.4265,3.96,-30.46,-79.6844,?
29.97,2.0426,7.21,-29.27,-81.0508,?
17.65,2.0077,4.91,-29.94,-78.8166,?
17.05,1.9942,4.63,-30.28,-77.8486,?
37.13,2.4017,9.68,-28.98,-75.8082,?
16.4,1.9487,4.36,-30.43,-77.5878,?
33.24,2.4916,8.47,-29.09,-77.3157,?
15.83,1.8175,4.14,-30.47,-78.6598,?
26.64,2.0114,7.27,-28.22,-78.6531,?
24.27,1.4113,6.48,-28.46,-81.0555,?
38.09,2.9784,9.9,-28.56,-76.571,?
28.15,2.0049,6.78,-29.67,-80.0332,?
37.72,2.5621,10.07,-26.8,-79.6631,?
31.46,2.6232,7.84,-29.29,-78.6658,?
40.81,3.1943,10.94,-27.89,-75.6315,?
17.82,1.5857,4.76,-30.32,-78.6599,?
25.25,1.6943,6.76,-28.49,-79.7916,?
16.14,1.5949,4.42,-30.2,-79.8462,?
28.71,2.4519,7.06,-29.8,-75.529,?
31.35,2.3346,7.86,-29.4,-77.3195,?
26.41,2.2876,6.24,-29.97,-78.6511,?
41.17,2.7051,10.98,-28.18,-76.8368,?
28.91,2.3497,7.01,-29.68,-78.9765,?
24.74,1.4522,6.67,-28.27,-81.0542,?
37.93,2.7746,9.96,-27.89,-79.2173,?
25.16,1.8624,6.04,-29.98,-79.1007,?
27.62,1.7183,7.9,-26.47,-80.4741,?
26.21,1.5839,7.28,-27.16,-81.4134,?
11.91,1.2837,2.81,-30.7,-80.7771,?
32.42,2.3629,8.12,-29.29,-78.051,?
24.92,1.8154,5.93,-30.01,-79.3673,?
29.14,2.1798,7.22,-29.51,-79.094,?
38.63,2.7988,10.2,-27.93,-78.6436,?
16.53,1.8651,4.43,-30.35,-78.5804,?
24.59,2.2782,6.0,-30.09,-76.6884,?
31.39,2.3383,7.87,-29.13,-79.3579,?
28.61,2.4045,6.95,-29.85,-76.1022,?
16.93,1.8691,4.61,-30.26,-77.3793,?
40.36,2.9538,10.88,-27.79,-76.3238,?
26.63,1.6228,7.46,-26.73,-81.4127,?
28.16,2.1881,7.07,-29.52,-78.1264,?
35.94,2.53,9.2,-28.66,-78.6471,?
29.98,2.5981,7.37,-29.73,-75.8758,?
30.39,2.0681,7.29,-29.4,-77.6046,?
10.89,0.9178,2.54,-30.7,-82.4436,?
34.91,2.4599,8.84,-28.94,-78.285,?
13.72,1.4545,3.39,-30.6,-81.1743,?
37.34,2.6684,9.71,-28.32,-78.6452,?
33.29,2.752,8.31,-29.32,-77.1878,?
26.03,1.7162,6.02,-29.8,-81.0543,?
22.63,1.6855,5.37,-30.19,-78.8724,?
15.08,1.4399,3.99,-30.4,-80.7488,?
40.0,2.9735,10.75,-27.91,-76.4515,?
14.89,1.4131,3.92,-30.46,-80.0446,?
15.34,1.4773,4.1,-30.38,-80.2494,?
30.3,2.2735,7.57,-29.31,-79.0925,?
31.57,2.1819,7.73,-28.95,-81.0496,?
39.87,3.1055,10.57,-28.16,-75.8989,?
12.89,1.1512,3.19,-30.56,-82.4378,?
15.54,1.5059,4.18,-30.05,-81.8593,?
16.87,1.7089,4.74,-29.97,-78.655,?
15.97,1.6938,4.24,-30.39,-79.1597,?
26.7,1.6299,7.49,-27.52,-80.0336,?
16.6,1.9492,4.44,-30.37,-78.4659,?
25.13,2.1312,6.21,-29.94,-77.1567,?
36.23,2.9518,9.32,-28.72,-77.3534,?
38.15,2.843,10.08,-28.23,-77.2606,?
30.14,2.2993,7.28,-29.67,-77.8643,?
17.9,2.204,4.97,-29.95,-79.1432,?
16.54,1.8226,4.45,-30.28,-79.5538,?
24.78,1.4552,6.69,-28.47,-80.0422,?
17.01,2.0493,4.6,-30.29,-78.652,?
0.0,0.0,0.0,-30.87,-84.638,?
16.24,1.7662,4.33,-30.34,-79.5554,?
15.68,1.7171,4.1,-30.42,-80.3628,?
17.22,2.0953,4.69,-30.17,-79.6462,?
15.41,1.4874,4.12,-30.33,-80.7471,?
30.79,2.2239,7.59,-29.26,-80.0304,?
30.58,2.5021,7.5,-29.65,-76.7478,?
29.49,2.3933,7.16,-29.77,-76.7502,?
11.88,1.0298,2.86,-30.68,-81.4311,?
29.9,2.447,7.31,-29.72,-76.5594,?
16.5,1.651,4.58,-29.77,-81.0488,?
26.44,1.6054,7.38,-27.44,-80.7432,?
1.39,0.5638,0.39,-30.84,-83.5369,?
39.54,2.9595,10.59,-27.18,-78.8516,?
16.85,1.7063,4.73,-29.95,-79.0971,?
